environment,backend,case,round,frames,frame_ms_median,frame_ms_p95,frame_ms_p99,frame_ms_max,halo_ms_median,halo_ms_p95,halo_ms_p99,halo_ms_max,allocated_bytes_median,allocated_bytes_p95,allocated_bytes_p99,allocated_bytes_max,submissions_median,submissions_p95,submissions_p99,submissions_max,uploaded_bytes_median,uploaded_bytes_p95,uploaded_bytes_p99,uploaded_bytes_max,warm_reentry_peak_ms
native,baseline,0,0,1161,4.2232,5.5291,6.32548,13.0457,3.3327,3.8316,4.0495,12.2555,1473224.0,1475088.0,1475088.0,1475088.0,640.0,640.0,640.0,640.0,61440.0,61440.0,61440.0,61440.0,13.0457
native,baseline,0,1,1222,4.0454,5.04296,5.72104,14.2673,3.264,3.79988,3.96538,13.4159,1472400.0,1472400.0,1472400.0,1472400.0,640.0,640.0,640.0,640.0,61440.0,61440.0,61440.0,61440.0,5.8545
native,baseline,0,2,1271,3.857,4.8837,5.43487,9.7316,3.1773,3.61125,3.80496,8.8052,1472400.0,1472400.0,1472400.0,1472400.0,640.0,640.0,640.0,640.0,61440.0,61440.0,61440.0,61440.0,5.0253
native,baseline,1,0,911,5.3795,6.5324,7.18059,14.7911,4.5046,5.06305,5.34604,13.0433,4949184.0,4949240.0,4949240.0,4949240.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,7.8768
native,baseline,1,1,944,5.22545,6.31687,6.88302,12.1591,4.44725,4.92708,5.31829,11.4703,4949184.0,4949184.0,4949184.0,4949184.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,6.465
native,baseline,1,2,950,5.19615,6.26544,6.77236,14.6316,4.4081,4.93328,5.15657,13.7212,4949184.0,4949184.0,4949184.0,4949184.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,6.4161
native,baseline,2,0,943,5.23,6.38103,6.94314,7.2804,4.398,4.92755,5.20533,6.3949,4949200.0,4949200.0,4949200.0,4949200.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,6.6647
native,baseline,2,1,978,5.0971,6.20486,6.58698,7.5516,4.309,4.88165,5.16501,6.5997,4949200.0,4949200.0,4949200.0,4949200.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,6.4698
native,baseline,2,2,980,5.02455,6.20316,6.87736,13.2699,4.26595,4.92866,5.33076,11.564,4949200.0,4949200.0,4949200.0,4949200.0,320.0,320.0,320.0,320.0,1474560.0,1474560.0,1474560.0,1474560.0,6.8637
native,baseline,3,0,1144,4.3188,5.30231,5.97076,7.1443,3.51385,3.95628,4.23818,5.8241,3933712.0,3933712.0,3933712.0,3933712.0,256.0,256.0,256.0,256.0,1179648.0,1179648.0,1179648.0,1179648.0,5.9051
